Feature Identifier,Feature Name,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = b. Income Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = c. Employment Deprivation Domain; Reference period = 2019; measure type = Score,"English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = d. Education, Skills and Training Domain; Reference period = 2019; measure type = Score",English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = e. Health Deprivation and Disability Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = g. Barriers to Housing and Services Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = h. Living Environment Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = i. Income Deprivation Affecting Children Index (IDACI); Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = j. Income Deprivation Affecting Older People Index (IDAOPI); Reference period = 2019; measure type = Score
http://opendatacommunities.org/id/geography/administration/lsoa/E01000070,Barking and Dagenham 011D,0.11,0.077,14.434,-0.442,35.596,27.639,0.121,0.178
http://opendatacommunities.org/id/geography/administration/lsoa/E01000071,Barking and Dagenham 011E,0.13,0.058,14.114,-0.261,40.981,22.064,0.158,0.247
http://opendatacommunities.org/id/geography/administration/lsoa/E01000072,Barking and Dagenham 017E,0.241,0.138,34.242,0.478,46.957,30.082,0.29,0.308
http://opendatacommunities.org/id/geography/administration/lsoa/E01000073,Barking and Dagenham 012B,0.209,0.135,35.14,0.57,43.442,23.636,0.237,0.325
http://opendatacommunities.org/id/geography/administration/lsoa/E01000074,Barking and Dagenham 012C,0.234,0.128,32.398,0.461,47.408,22.806,0.287,0.277
http://opendatacommunities.org/id/geography/administration/lsoa/E01000075,Barking and Dagenham 012D,0.196,0.118,36.347,0.136,44.869,39.815,0.279,0.225
http://opendatacommunities.org/id/geography/administration/lsoa/E01000076,Barking and Dagenham 012E,0.208,0.148,36.193,0.097,49.87,27.02,0.211,0.269
http://opendatacommunities.org/id/geography/administration/lsoa/E01000077,Barking and Dagenham 008F,0.251,0.159,33.494,0.725,44.143,35.02,0.294,0.318
http://opendatacommunities.org/id/geography/administration/lsoa/E01000078,Barking and Dagenham 007B,0.228,0.128,33.668,0.035,44.311,33.091,0.322,0.238
http://opendatacommunities.org/id/geography/administration/lsoa/E01000079,Barking and Dagenham 009E,0.227,0.141,24.526,0.045,48.007,29.325,0.252,0.332
http://opendatacommunities.org/id/geography/administration/lsoa/E01000080,Barking and Dagenham 007C,0.19,0.146,26.379,0.445,45.385,24.492,0.221,0.247
http://opendatacommunities.org/id/geography/administration/lsoa/E01000081,Barking and Dagenham 007D,0.162,0.116,30.952,0.225,43.718,32.758,0.207,0.217
http://opendatacommunities.org/id/geography/administration/lsoa/E01000082,Barking and Dagenham 007E,0.158,0.113,31.053,-0.111,43.176,30.006,0.171,0.224
http://opendatacommunities.org/id/geography/administration/lsoa/E01000083,Barking and Dagenham 007F,0.196,0.134,27.072,0.361,44.245,35.395,0.249,0.237
http://opendatacommunities.org/id/geography/administration/lsoa/E01000084,Barking and Dagenham 013D,0.229,0.141,36.839,0.338,43.432,28.534,0.266,0.269
http://opendatacommunities.org/id/geography/administration/lsoa/E01000085,Barking and Dagenham 013E,0.189,0.124,36.259,-0.227,46.139,32.465,0.197,0.305
http://opendatacommunities.org/id/geography/administration/lsoa/E01000086,Barking and Dagenham 013F,0.218,0.142,28.503,0.89,42.757,26.281,0.236,0.391
http://opendatacommunities.org/id/geography/administration/lsoa/E01000087,Barking and Dagenham 020B,0.226,0.131,27.171,0.046,48.565,31.357,0.263,0.274
http://opendatacommunities.org/id/geography/administration/lsoa/E01000088,Barking and Dagenham 020C,0.147,0.1,20.313,0.264,44.005,34.525,0.177,0.181
http://opendatacommunities.org/id/geography/administration/lsoa/E01000089,Barking and Dagenham 020D,0.156,0.092,25.246,-0.154,47.254,40.955,0.216,0.187
http://opendatacommunities.org/id/geography/administration/lsoa/E01000090,Barking and Dagenham 020E,0.169,0.091,22.024,-0.187,45.475,29.464,0.25,0.161
http://opendatacommunities.org/id/geography/administration/lsoa/E01000091,Barking and Dagenham 022A,0.256,0.175,32.562,0.324,48.266,23.563,0.27,0.305
http://opendatacommunities.org/id/geography/administration/lsoa/E01000092,Barking and Dagenham 019E,0.215,0.106,18.788,-0.008,61.059,29.993,0.263,0.375
http://opendatacommunities.org/id/geography/administration/lsoa/E01000093,Barking and Dagenham 022B,0.26,0.169,27.955,0.842,49.657,43.57,0.32,0.33
http://opendatacommunities.org/id/geography/administration/lsoa/E01000094,Barking and Dagenham 022C,0.167,0.094,10.866,-0.036,64.961,20.692,0.191,0.3
http://opendatacommunities.org/id/geography/administration/lsoa/E01000095,Barking and Dagenham 018E,0.196,0.095,22.314,-0.111,63.151,18.657,0.262,0.278
http://opendatacommunities.org/id/geography/administration/lsoa/E01000096,Barking and Dagenham 022D,0.259,0.135,34.307,0.008,48.317,29.982,0.345,0.245
http://opendatacommunities.org/id/geography/administration/lsoa/E01000097,Barking and Dagenham 023C,0.223,0.131,32.926,0.808,47.096,28.566,0.232,0.351
http://opendatacommunities.org/id/geography/administration/lsoa/E01000098,Barking and Dagenham 023D,0.239,0.159,31.389,0.443,43.482,28.673,0.26,0.319
http://opendatacommunities.org/id/geography/administration/lsoa/E01000099,Barking and Dagenham 023E,0.174,0.105,25.037,0.214,47.111,26.795,0.2,0.301
http://opendatacommunities.org/id/geography/administration/lsoa/E01000100,Barking and Dagenham 004B,0.16,0.117,29.622,0.106,42.938,38.207,0.167,0.236
http://opendatacommunities.org/id/geography/administration/lsoa/E01000101,Barking and Dagenham 004C,0.254,0.154,28.988,0.464,43.29,37.223,0.294,0.327
http://opendatacommunities.org/id/geography/administration/lsoa/E01000102,Barking and Dagenham 007G,0.275,0.175,23.976,0.684,44.376,33.8,0.322,0.356
http://opendatacommunities.org/id/geography/administration/lsoa/E01000103,Barking and Dagenham 014A,0.18,0.113,26.208,0.427,50.872,20.068,0.236,0.275
http://opendatacommunities.org/id/geography/administration/lsoa/E01000104,Barking and Dagenham 014B,0.222,0.134,31.664,0.276,50.107,18.066,0.275,0.291
http://opendatacommunities.org/id/geography/administration/lsoa/E01000105,Barking and Dagenham 014C,0.246,0.165,36.132,0.932,47.24,25.589,0.273,0.386
http://opendatacommunities.org/id/geography/administration/lsoa/E01000106,Barking and Dagenham 014D,0.275,0.167,27.219,0.636,51.428,26.265,0.316,0.343
http://opendatacommunities.org/id/geography/administration/lsoa/E01000107,Barking and Dagenham 010C,0.151,0.095,29.324,0.579,44.429,22.813,0.221,0.159
http://opendatacommunities.org/id/geography/administration/lsoa/E01000108,Barking and Dagenham 010D,0.171,0.104,20.596,0.158,41.045,35.136,0.275,0.14
http://opendatacommunities.org/id/geography/administration/lsoa/E01000109,Barking and Dagenham 004D,0.12,0.084,22.485,-0.199,39.755,34.149,0.15,0.146
http://opendatacommunities.org/id/geography/administration/lsoa/E01000110,Barking and Dagenham 002C,0.112,0.078,12.848,-0.002,32.872,20.544,0.149,0.124
http://opendatacommunities.org/id/geography/administration/lsoa/E01000111,Barking and Dagenham 002D,0.174,0.111,20.878,0.187,44.339,26.789,0.196,0.26
http://opendatacommunities.org/id/geography/administration/lsoa/E01000112,Barking and Dagenham 002E,0.129,0.065,18.969,-0.324,43.159,40.766,0.168,0.24
http://opendatacommunities.org/id/geography/administration/lsoa/E01000113,Barking and Dagenham 002F,0.152,0.081,16.983,-0.122,42.208,26.945,0.213,0.187
http://opendatacommunities.org/id/geography/administration/lsoa/E01000114,Barking and Dagenham 004E,0.119,0.074,19.124,-0.117,40.755,34.274,0.167,0.144
http://opendatacommunities.org/id/geography/administration/lsoa/E01000115,Barnet 009A,0.055,0.046,3.734,-1.526,17.004,18.838,0.073,0.058
http://opendatacommunities.org/id/geography/administration/lsoa/E01000116,Barnet 009B,0.074,0.049,3.87,-1.412,19.173,18.248,0.063,0.142
http://opendatacommunities.org/id/geography/administration/lsoa/E01000117,Barnet 010A,0.071,0.062,6.077,-1.141,21.506,17.66,0.051,0.09
http://opendatacommunities.org/id/geography/administration/lsoa/E01000118,Barnet 010B,0.077,0.059,8.59,-1.679,22.339,16.261,0.094,0.099
http://opendatacommunities.org/id/geography/administration/lsoa/E01000119,Barnet 009C,0.078,0.054,3.312,-1.884,23.519,21.949,0.066,0.135
http://opendatacommunities.org/id/geography/administration/lsoa/E01000120,Barnet 009D,0.061,0.036,4.436,-1.58,18.977,14.872,0.048,0.099
http://opendatacommunities.org/id/geography/administration/lsoa/E01000121,Barnet 010C,0.262,0.194,22.583,0.261,37.522,13.339,0.294,0.293
http://opendatacommunities.org/id/geography/administration/lsoa/E01000122,Barnet 009E,0.071,0.055,2.257,-1.246,30.659,21.817,0.053,0.138
http://opendatacommunities.org/id/geography/administration/lsoa/E01000123,Barnet 010D,0.075,0.049,8.519,-1.062,34.632,15.659,0.114,0.116
http://opendatacommunities.org/id/geography/administration/lsoa/E01000124,Barnet 010E,0.166,0.128,14.674,-0.593,30.587,20.768,0.191,0.278
http://opendatacommunities.org/id/geography/administration/lsoa/E01000125,Barnet 024A,0.179,0.088,23.785,-0.615,45.911,20.582,0.21,0.327
http://opendatacommunities.org/id/geography/administration/lsoa/E01000126,Barnet 026A,0.243,0.152,13.21,-0.077,51.181,24.433,0.27,0.467
http://opendatacommunities.org/id/geography/administration/lsoa/E01000127,Barnet 024B,0.193,0.129,21.348,-0.495,37.588,22.92,0.224,0.327
http://opendatacommunities.org/id/geography/administration/lsoa/E01000128,Barnet 024C,0.171,0.103,22.529,-0.346,34.708,27.146,0.236,0.209
http://opendatacommunities.org/id/geography/administration/lsoa/E01000129,Barnet 024D,0.214,0.11,23.973,-0.148,38.657,25.543,0.176,0.549
http://opendatacommunities.org/id/geography/administration/lsoa/E01000130,Barnet 021A,0.185,0.118,19.118,-0.331,43.475,35.288,0.203,0.262
http://opendatacommunities.org/id/geography/administration/lsoa/E01000131,Barnet 024E,0.116,0.067,10.9,-0.802,39.033,20.979,0.11,0.185
http://opendatacommunities.org/id/geography/administration/lsoa/E01000132,Barnet 021B,0.187,0.106,22.698,-0.464,35.397,25.837,0.232,0.329
http://opendatacommunities.org/id/geography/administration/lsoa/E01000133,Barnet 021C,0.188,0.159,24.516,-0.059,40.079,26.72,0.153,0.31
http://opendatacommunities.org/id/geography/administration/lsoa/E01000134,Barnet 024F,0.184,0.093,20.26,-0.579,42.152,27.225,0.212,0.412
http://opendatacommunities.org/id/geography/administration/lsoa/E01000135,Barnet 038A,0.076,0.048,4.357,-1.087,25.516,33.536,0.089,0.089
http://opendatacommunities.org/id/geography/administration/lsoa/E01000136,Barnet 038B,0.037,0.02,0.946,-1.93,27.615,36.198,0.023,0.076
http://opendatacommunities.org/id/geography/administration/lsoa/E01000137,Barnet 041A,0.235,0.145,8.14,0.077,33.329,22.835,0.301,0.301
http://opendatacommunities.org/id/geography/administration/lsoa/E01000138,Barnet 040A,0.178,0.127,8.449,-0.547,35.73,31.895,0.217,0.199
http://opendatacommunities.org/id/geography/administration/lsoa/E01000139,Barnet 041B,0.082,0.041,4.481,-1.326,25.608,29.28,0.11,0.136
http://opendatacommunities.org/id/geography/administration/lsoa/E01000140,Barnet 041C,0.118,0.078,9.457,-0.914,30.188,30.341,0.175,0.152
http://opendatacommunities.org/id/geography/administration/lsoa/E01000141,Barnet 039A,0.149,0.083,11.28,-0.736,35.668,52.22,0.207,0.284
http://opendatacommunities.org/id/geography/administration/lsoa/E01000142,Barnet 040B,0.126,0.077,8.856,-0.676,30.865,28.68,0.162,0.178
http://opendatacommunities.org/id/geography/administration/lsoa/E01000143,Barnet 041D,0.239,0.153,16.558,-0.081,33.531,19.252,0.318,0.296
http://opendatacommunities.org/id/geography/administration/lsoa/E01000144,Barnet 038C,0.102,0.082,8.328,-0.906,31.107,29.17,0.079,0.224
http://opendatacommunities.org/id/geography/administration/lsoa/E01000145,Barnet 037A,0.088,0.072,4.679,-1.5,29.116,32.598,0.066,0.085
http://opendatacommunities.org/id/geography/administration/lsoa/E01000146,Barnet 038D,0.103,0.089,4.798,-1.542,34.561,29.849,0.098,0.172
http://opendatacommunities.org/id/geography/administration/lsoa/E01000147,Barnet 030A,0.078,0.04,9.893,-1.99,27.447,33.415,0.057,0.171
http://opendatacommunities.org/id/geography/administration/lsoa/E01000148,Barnet 030B,0.186,0.115,15.794,-0.042,43.166,29.844,0.192,0.346
http://opendatacommunities.org/id/geography/administration/lsoa/E01000150,Barnet 036A,0.106,0.056,9.297,-1.385,33.726,33.545,0.134,0.202
http://opendatacommunities.org/id/geography/administration/lsoa/E01000151,Barnet 026B,0.332,0.191,18.815,-0.203,40.945,19.735,0.393,0.363
http://opendatacommunities.org/id/geography/administration/lsoa/E01000152,Barnet 026C,0.265,0.144,25.229,-0.552,44.269,16.001,0.303,0.429
http://opendatacommunities.org/id/geography/administration/lsoa/E01000153,Barnet 026D,0.276,0.173,36.066,-0.047,49.389,18.106,0.324,0.383
http://opendatacommunities.org/id/geography/administration/lsoa/E01000154,Barnet 026E,0.201,0.141,22.212,0.007,43.4,22.744,0.161,0.337
http://opendatacommunities.org/id/geography/administration/lsoa/E01000155,Barnet 030D,0.135,0.062,12.175,-1.303,39.038,47.35,0.192,0.295
http://opendatacommunities.org/id/geography/administration/lsoa/E01000156,Barnet 022A,0.075,0.04,1.668,-0.991,22.228,19.997,0.087,0.189
http://opendatacommunities.org/id/geography/administration/lsoa/E01000157,Barnet 022B,0.089,0.054,10.386,-1.084,24.93,32.014,0.124,0.177
http://opendatacommunities.org/id/geography/administration/lsoa/E01000158,Barnet 015A,0.13,0.087,10.783,-0.598,28.16,31.142,0.153,0.185
http://opendatacommunities.org/id/geography/administration/lsoa/E01000159,Barnet 015B,0.112,0.077,4.883,-1.287,32.939,17.393,0.16,0.123
http://opendatacommunities.org/id/geography/administration/lsoa/E01000160,Barnet 015C,0.07,0.047,7.531,-1.028,26.935,26.093,0.078,0.151
http://opendatacommunities.org/id/geography/administration/lsoa/E01000161,Barnet 015D,0.109,0.055,3.782,-0.524,27.508,20.014,0.146,0.201
http://opendatacommunities.org/id/geography/administration/lsoa/E01000162,Barnet 015E,0.117,0.098,9.943,-0.479,24.285,27.187,0.111,0.181
http://opendatacommunities.org/id/geography/administration/lsoa/E01000163,Barnet 022C,0.2,0.145,13.328,0.036,38.055,21.987,0.22,0.349
http://opendatacommunities.org/id/geography/administration/lsoa/E01000164,Barnet 022D,0.172,0.107,11.909,-0.666,36.044,28.698,0.17,0.311
http://opendatacommunities.org/id/geography/administration/lsoa/E01000165,Barnet 022E,0.099,0.05,5.196,-1.29,35.632,16.048,0.123,0.202
http://opendatacommunities.org/id/geography/administration/lsoa/E01000166,Barnet 003A,0.105,0.082,7.16,-0.922,28.957,13.626,0.093,0.162
http://opendatacommunities.org/id/geography/administration/lsoa/E01000167,Barnet 002A,0.199,0.125,22.649,0.166,33.883,18.27,0.288,0.26
http://opendatacommunities.org/id/geography/administration/lsoa/E01000168,Barnet 003B,0.05,0.035,3.41,-1.486,21.872,21.5,0.047,0.102
http://opendatacommunities.org/id/geography/administration/lsoa/E01000169,Barnet 003C,0.086,0.063,4.871,-1.209,25.427,25.647,0.1,0.105
http://opendatacommunities.org/id/geography/administration/lsoa/E01000170,Barnet 006A,0.147,0.114,10.294,-0.625,22.502,25.376,0.164,0.216
http://opendatacommunities.org/id/geography/administration/lsoa/E01000171,Barnet 006B,0.196,0.105,12.3,-0.164,26.487,33.967,0.276,0.236
http://opendatacommunities.org/id/geography/administration/lsoa/E01000172,Barnet 003D,0.075,0.039,2.666,-1.613,24.854,25.96,0.087,0.094
http://opendatacommunities.org/id/geography/administration/lsoa/E01000173,Barnet 006C,0.081,0.05,5.844,-1.13,19.649,23.152,0.093,0.128
http://opendatacommunities.org/id/geography/administration/lsoa/E01000174,Barnet 006D,0.128,0.069,8.05,-0.672,30.198,29.971,0.132,0.226
http://opendatacommunities.org/id/geography/administration/lsoa/E01000175,Barnet 006E,0.052,0.047,2.159,-1.45,22.205,15.768,0.042,0.079
http://opendatacommunities.org/id/geography/administration/lsoa/E01000176,Barnet 027A,0.233,0.136,19.609,-0.459,44.215,17.867,0.293,0.33
http://opendatacommunities.org/id/geography/administration/lsoa/E01000177,Barnet 029A,0.055,0.026,4.627,-1.826,22.96,29.925,0.075,0.086
http://opendatacommunities.org/id/geography/administration/lsoa/E01000178,Barnet 027B,0.058,0.045,1.098,-1.31,22.904,23.749,0.052,0.125
http://opendatacommunities.org/id/geography/administration/lsoa/E01000179,Barnet 029B,0.064,0.036,2.024,-0.712,24.92,19.606,0.089,0.133
